Indicador;Nível Territorial;Abertura Territorial;Variável de abertura 1;Categoria de abertura 1;Variável de abertura 2;Categoria de abertura 2;Maio;Junho;Situação Maio para Junho;Julho;Situação Junho para Julho;Agosto;Situação Julho para Agosto;Setembro;Situação Agosto para Setembro;Outubro;Situação Setembro para Outubro;Novembro;Situação Outubro para Novembro
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Sexo;Total;-;-;  24 012 ;  15 506 ;Queda;  13 793 ;Queda;  12 136 ;Queda;  9 237 ;Queda;  7 811 ;Queda;  7 956 ;Estável
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Sexo;Homem;-;-;  10 407 ;  6 685 ;-;  5 888 ;-;  5 198 ;-;  3 996 ;-;  3 329 ;-;  3 431 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Sexo;Mulher;-;-;  13 605 ;  8 821 ;-;  7 905 ;-;  6 937 ;-;  5 241 ;-;  4 482 ;-;  4 525 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;Total;-;-;  24 012 ;  15 506 ;-;  13 793 ;-;  12 136 ;-;  9 237 ;-;  7 811 ;-;  7 956 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;0 a 9 anos;-;-;  1 736 ;  1 194 ;-;  1 077 ;-;  1 208 ;-;   840 ;-;   816 ;-;   869 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;10 a 19 anos;-;-;  2 269 ;  1 401 ;-;  1 306 ;-;  1 223 ;-;   876 ;-;   772 ;-;   763 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;20 a 29 anos;-;-;  4 297 ;  2 674 ;-;  2 331 ;-;  1 991 ;-;  1 485 ;-;  1 248 ;-;  1 312 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;30 a 59 anos;-;-;  12 150 ;  7 786 ;-;  6 824 ;-;  5 745 ;-;  4 387 ;-;  3 612 ;-;  3 628 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade;60 anos ou mais;-;-;  3 561 ;  2 451 ;-;  2 255 ;-;  1 969 ;-;  1 649 ;-;  1 363 ;-;  1 385 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade 2;Total ;-;-;  24 012 ;  15 506 ;-;  13 793 ;-;  12 136 ;-;  9 237 ;-;  7 811 ;-;  7 956 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade 2;0 a 59 anos ;-;-;  20 451 ;  13 055 ;-;  11 538 ;-;  10 167 ;-;  7 588 ;-;  6 448 ;-;  6 571 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Grupos de Idade 2;60 anos ou mais ;-;-;  3 561 ;  2 451 ;-;  2 255 ;-;  1 969 ;-;  1 649 ;-;  1 363 ;-;  1 385 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Cor ou Raça;Total4;-;-;  24 012 ;  15 506 ;-;  13 793 ;-;  12 136 ;-;  9 237 ;-;  7 811 ;-;  7 956 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Cor ou Raça;Branca;-;-;  9 675 ;  6 312 ;-;  5 816 ;-;  5 275 ;-;  3 982 ;-;  3 275 ;-;  3 536 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Cor ou Raça;Preta ou parda;-;-;  13 981 ;  8 997 ;-;  7 805 ;-;  6 716 ;-;  5 144 ;-;  4 461 ;-;  4 331 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Nível de instrução;Total;-;-;  24 012 ;  15 506 ;-;  13 793 ;-;  12 136 ;-;  9 237 ;-;  7 811 ;-;  7 956 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Nível de instrução;Sem instrução ao fundamental incompleto;-;-;  7 878 ;  5 384 ;-;  4 838 ;-;  4 614 ;-;  3 476 ;-;  3 031 ;-;  2 994 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Nível de instrução;Fundamental completo ao médio incompleto;-;-;  3 923 ;  2 467 ;-;  2 293 ;-;  1 926 ;-;  1 416 ;-;  1 212 ;-;  1 252 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Nível de instrução;Médio completo ao superior incompleto;-;-;  8 360 ;  5 205 ;-;  4 519 ;-;  3 762 ;-;  2 908 ;-;  2 404 ;-;  2 404 ;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);País;Brasil;Nível de instrução;Superior completo ou pós-graduação;-;-;  3 851 ;  2 450 ;-;  2 144 ;-;  1 834 ;-;  1 437 ;-;  1 164 ;-;  1 306 ;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Total;-;-;1,0;1,1;-;1,2;-;1,3;-;1,6;-;1,6;-;1,6;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Homem;-;-;1,2;1,4;-;1,5;-;1,6;-;2,0;-;2,1;-;2,1;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Sexo;Mulher;-;-;1,1;1,2;-;1,3;-;1,4;-;1,7;-;1,8;-;1,7;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;Total;-;-;1,0;1,1;-;1,2;-;1,3;-;1,6;-;1,6;-;1,6;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);País;Brasil;Grupos de Idade;0 a 9 anos;-;-;2,9;3,3;-;3,5;-;3,4;-;4,1;-;4,5;-;4,6;-
