Indicador;Nível Territorial;Abertura Territorial;Variável de abertura 1;Categoria de abertura 1;Variável de abertura 2;Categoria de abertura 2;Maio;Junho;Situação Maio para Junho;Julho;Situação Junho para Julho;Agosto;Situação Julho para Agosto;Setembro;Situação Agosto para Setembro;Outubro;Situação Setembro para Outubro;Novembro;Situação Outubro para Novembro
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);Unidade da Federação;Rondônia;-;-;-;-;   182 ;   134 ;Queda;   91 ;Queda;   97 ;Estável;   78 ;Estável;   51 ;Queda;   41 ;Estável
CV - Pessoas que apresentaram algum dos sintoma(s) (%);Unidade da Federação;Rondônia;-;-;-;-;8,3;7,5;-;8,9;-;10,8;-;11,8;-;14,5;-;15,5;-
Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;Unidade da Federação;Rondônia;-;-;-;-;10,2;7,5;Queda;5,1;Queda;5,4;Estável;4,3;Estável;2,9;Queda;2,3;Estável
CV - Percentual de pessoas que apresentaram algum dos sintomas no total da população (%) ;Unidade da Federação;Rondônia;-;-;-;-;8,3;7,5;-;8,9;-;10,8;-;11,8;-;14,5;-;15,5;-
Pessoas que apresentaram sintomas referenciados conjugados3 (mil pessoas);Unidade da Federação;Rondônia;-;-;-;-;   30 ;   27 ;Estável;   16 ;Queda;   24 ;Estável;   12 ;Queda;   9 ;Estável;   8 ;Estável
CV - Pessoas que apresentaram sintomas referenciados conjugados3 (%) ;Unidade da Federação;Rondônia;-;-;-;-;20,3;21,2;-;20,7;-;20,8;-;29,2;-;26,6;-;26,4;-
Percentual de pessoas que apresentaram sintomas referenciados conjugados3 no total da população (%);Unidade da Federação;Rondônia;-;-;-;-;1,7;1,5;Estável;0,9;Queda;1,3;Estável;0,6;Queda;0,5;Estável;0,4;Estável
CV - Percentual de pessoas que apresentaram sintomas referenciados conjugados3 no total da população (%);Unidade da Federação;Rondônia;-;-;-;-;20,3;21,2;-;20,7;-;20,8;-;29,2;-;26,6;-;26,4;-
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Total;   182 ;   134 ;Queda;   91 ;Queda;   97 ;Estável;   78 ;Estável;   51 ;Queda;   41 ;Estável
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Foi a estabelecimento de saúde;   28 ;   26 ;Estável;   19 ;Estável;   32 ;Aumento;   14 ;Queda;   14 ;Estável;   16 ;Estável
Pessoas que apresentaram algum dos sintoma(s) (mil pessoas);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Não foi a estabelecimento de saúde;   153 ;   109 ;Queda;   71 ;Queda;   64 ;Estável;   63 ;Estável;   37 ;Queda;   26 ;Queda
CV - Pessoas que apresentaram algum dos sintoma(s) (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Total;8,3;7,5;-;8,9;-;10,8;-;11,8;-;14,5;-;15,5;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Foi a estabelecimento de saúde;17,0;20,2;-;18,2;-;18,0;-;21,8;-;22,1;-;21,3;-
CV - Pessoas que apresentaram algum dos sintoma(s) (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Não foi a estabelecimento de saúde;8,3;7,9;-;9,6;-;11,8;-;14,6;-;15,9;-;16,6;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Total;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Foi a estabelecimento de saúde;15,7;19,1;Estável;21,3;Estável;33,5;Aumento;18,3;Queda;27,6;Estável;38,3;Estável
Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Não foi a estabelecimento de saúde;84,3;80,9;Estável;78,7;Estável;66,5;Queda;81,7;Aumento;72,4;Estável;61,7;Estável
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Total;0,0;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-;0,0;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Foi a estabelecimento de saúde;13,5;17,5;-;15,0;-;13,0;-;23,4;-;16,6;-;13,0;-
CV - Distribuição das pessoas que apresentaram algum dos sintoma(s) (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Não foi a estabelecimento de saúde;2,5;4,1;-;4,1;-;6,6;-;5,2;-;6,3;-;8,1;-
Pessoas que apresentaram sintomas referenciados conjugados3 (mil pessoas);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Total;   30 ;   27 ;Estável;   16 ;Queda;   24 ;Estável;   12 ;Queda;   9 ;Estável;   8 ;Estável
Pessoas que apresentaram sintomas referenciados conjugados3 (mil pessoas);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Foi a estabelecimento de saúde;   14 ;   16 ;Estável;   9 ;Estável;   16 ;Estável;   5 ;Queda;   4 ;Estável;   6 ;Estável
Pessoas que apresentaram sintomas referenciados conjugados3 (mil pessoas);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Não foi a estabelecimento de saúde;   15 ;   11 ;Estável;   6 ;Estável;   8 ;Estável;   6 ;Estável;   5 ;Estável;   1 ;Queda
CV - Pessoas que apresentaram sintomas referenciados conjugados3 (%) ;Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Total;20,3;21,2;-;20,7;-;20,8;-;29,2;-;26,6;-;26,4;-
CV - Pessoas que apresentaram sintomas referenciados conjugados3 (%) ;Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Foi a estabelecimento de saúde;26,6;27,2;-;28,5;-;23,5;-;41,5;-;26,4;-;31,2;-
CV - Pessoas que apresentaram sintomas referenciados conjugados3 (%) ;Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Não foi a estabelecimento de saúde;21,9;29,0;-;24,5;-;31,7;-;35,3;-;36,0;-;36,4;-
Distribuição das pessoas que apresentaram sintomas referenciados conjugados3 (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Total;100,0;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-;100,0;-
Distribuição das pessoas que apresentaram sintomas referenciados conjugados3 (%);Unidade da Federação;Rondônia;-;-;Procura a estabelecimento de saúde;Foi a estabelecimento de saúde;48,3;59,4;Estável;58,7;Estável;65,7;Estável;46,4;Estável;41,4;Estável;81,0;Aumento
